,Name,Location,Kilometers_Driven,Mileage,Engine,Power,Seats,New_Price,Price,age,CNG,Diesel,Electric,LPG,Petrol,Automatic,Manual
0,Maruti Wagon R LXI CNG,Mumbai,72000,21.014000000000003,998.0,58.16,5.0,,1.75,14,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,Hyundai Creta 1.6 CRDi SX Option,Pune,41000,19.67,1582.0,126.2,5.0,,12.5,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2,Honda Jazz V,Chennai,46000,18.2,1199.0,88.7,5.0,8.61 Lakh,4.5,13,0.0,0.0,0.0,0.0,1.0,0.0,1.0
3,Maruti Ertiga VDI,Chennai,87000,20.77,1248.0,88.76,7.0,,6.0,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,40670,15.2,1968.0,140.8,5.0,,17.74,11,0.0,1.0,0.0,0.0,0.0,1.0,0.0
5,Hyundai EON LPG Era Plus Option,Hyderabad,75000,11.2885,814.0,55.2,5.0,,2.35,12,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6,Nissan Micra Diesel XV,Jaipur,86999,23.08,1461.0,63.1,5.0,,3.5,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,36000,11.36,2755.0,171.5,8.0,21 Lakh,17.5,8,0.0,1.0,0.0,0.0,0.0,1.0,0.0
8,Volkswagen Vento Diesel Comfortline,Pune,64430,20.54,1598.0,103.6,5.0,,5.2,11,0.0,1.0,0.0,0.0,0.0,0.0,1.0
9,Tata Indica Vista Quadrajet LS,Chennai,65932,22.3,1248.0,74.0,5.0,,1.95,12,0.0,1.0,0.0,0.0,0.0,0.0,1.0
10,Maruti Ciaz Zeta,Kochi,25692,21.56,1462.0,103.25,5.0,10.65 Lakh,9.95,6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
11,Honda City 1.5 V AT Sunroof,Kolkata,60000,16.8,1497.0,116.3,5.0,,4.49,12,0.0,0.0,0.0,0.0,1.0,1.0,0.0
12,Maruti Swift VDI BSIV,Jaipur,64424,25.2,1248.0,74.0,5.0,,5.6,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
13,Land Rover Range Rover 2.2L Pure,Delhi,72000,12.7,2179.0,187.7,5.0,,27.0,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
14,Land Rover Freelander 2 TD4 SE,Pune,85000,0.0,2179.0,115.0,5.0,,17.5,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0
15,Mitsubishi Pajero Sport 4X4,Delhi,110000,13.5,2477.0,175.56,7.0,32.01 Lakh,15.0,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
16,Honda Amaze S i-Dtech,Kochi,58950,25.8,1498.0,98.6,5.0,,5.4,8,0.0,1.0,0.0,0.0,0.0,0.0,1.0
17,Maruti Swift DDiS VDI,Jaipur,25000,28.4,1248.0,74.0,5.0,,5.99,7,0.0,1.0,0.0,0.0,0.0,0.0,1.0
18,Renault Duster 85PS Diesel RxL Plus,Kochi,77469,20.45,1461.0,83.8,5.0,,6.34,10,0.0,1.0,0.0,0.0,0.0,0.0,1.0
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,78500,14.84,2143.0,167.62,5.0,,28.0,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
20,BMW 3 Series 320d,Kochi,32982,22.69,1995.0,190.0,5.0,47.87 Lakh,18.55,10,0.0,1.0,0.0,0.0,0.0,1.0,0.0
21,Maruti S Cross DDiS 200 Alpha,Bangalore,55392,23.65,1248.0,88.5,5.0,,8.25,9,0.0,1.0,0.0,0.0,0.0,0.0,1.0
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,55985,13.53,1984.0,177.01,5.0,,23.5,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0
